    52/399        0G   0.02915   0.01374         0   0.04289         9       640    0.9128    0.7798    0.9108     0.611   0.02371  0.004776         0
    53/399        0G   0.03165   0.01437         0   0.04603        21       640    0.9294    0.7248    0.9092    0.7074    0.0205  0.004481         0
    54/399        0G   0.03099   0.01458         0   0.04557        11       640    0.8139     0.963    0.9462    0.5861   0.01809  0.004721         0
    55/399        0G   0.02504   0.01345         0   0.03849        11       640    0.9208    0.9633    0.9731    0.7779    0.0137  0.004504         0
    56/399        0G   0.03388   0.01581         0   0.04969        14       640    0.9366    0.6782     0.852    0.5004   0.01942   0.00465         0
    57/399        0G   0.03161   0.01159         0    0.0432        13       640    0.9718    0.6422    0.8514    0.6349   0.01618  0.004734         0
    58/399        0G    0.0296   0.01258         0   0.04219        13       640    0.7852    0.9725    0.9474    0.6306   0.01376  0.004447         0
    59/399        0G   0.02846   0.01291         0   0.04137         6       640    0.7923    0.9449    0.9422    0.6726   0.01286  0.004838         0
    60/399        0G   0.02962   0.01565         0   0.04527        22       640    0.8865    0.7878      0.92    0.6648   0.01436  0.004879         0
    61/399        0G   0.02591   0.01334         0   0.03924         9       640    0.8915    0.9817    0.9571    0.7196   0.01205   0.00487         0
    62/399        0G   0.02718   0.01259         0   0.03977        12       640    0.8583    0.9999    0.9254    0.6254   0.01614  0.004708         0
    63/399        0G   0.02408   0.01254         0   0.03662        16       640    0.8991    0.9815    0.9643    0.7119   0.01357  0.004352         0
    64/399        0G   0.02887    0.0121         0   0.04097        16       640    0.9388    0.9908    0.9872    0.7041   0.01768  0.004479         0
    65/399        0G   0.02727   0.01148         0   0.03875         9       640    0.9646         1    0.9925    0.8282   0.01404  0.004172         0
    66/399        0G   0.03127   0.01215         0   0.04342        10       640    0.9554    0.9816    0.9897    0.6626   0.01611  0.004385         0
    67/399        0G   0.02801   0.01153         0   0.03954        14       640    0.9553    0.9817    0.9898    0.8134   0.01219  0.004063         0
    68/399        0G   0.02778   0.01173         0   0.03951        12       640    0.9725    0.9722    0.9919    0.5705   0.01737  0.004138         0
    69/399        0G   0.02586   0.01238         0   0.03824        15       640         1    0.9816    0.9949    0.7263   0.01267  0.003976         0
    70/399        0G   0.02386   0.01121         0   0.03507        17       640    0.9971    0.9817    0.9948    0.7435   0.01378  0.003991         0
    71/399        0G   0.02832    0.0127         0   0.04102        11       640    0.9999    0.9908    0.9951    0.8407   0.01188  0.003863         0
    72/399        0G   0.02942   0.01033         0   0.03974        14       640    0.9908    0.9908    0.9948    0.7246   0.01468  0.003974         0
    73/399        0G   0.02406    0.0111         0   0.03515        10       640    0.9717    0.9541     0.991    0.8072   0.01252  0.004024         0
    74/399        0G   0.02401   0.01065         0   0.03466        14       640    0.9316    0.9996    0.9909    0.6276   0.01517  0.004146         0
    75/399        0G   0.02296   0.01299         0   0.03596         9       640    0.9643         1    0.9944     0.754   0.01215  0.003906         0
    76/399        0G   0.02592   0.01194         0   0.03785        12       640    0.9732    0.9998    0.9917    0.7994   0.01379  0.003931         0
    77/399        0G    0.0298   0.01173         0   0.04153        17       640    0.9008    0.9999    0.9781    0.8405   0.01142  0.003884         0
    78/399        0G    0.0266   0.01136         0   0.03796        14       640     0.854    0.9908    0.9607    0.7484   0.01154  0.003778         0
    79/399        0G   0.02354   0.01189         0   0.03543        15       640    0.9816    0.9817    0.9901    0.8179  0.009703  0.003729         0
    80/399        0G   0.02147   0.01145         0   0.03292         8       640    0.9646         1    0.9886    0.8461   0.01275  0.003495         0
    81/399        0G   0.02508    0.0115         0   0.03657        19       640    0.9908         1    0.9912    0.8201   0.01175   0.00351         0
    82/399        0G   0.02607   0.01228         0   0.03835        16       640    0.9561    0.9992    0.9861    0.7195   0.01348  0.004075         0
    83/399        0G   0.02433   0.01064         0   0.03497        12       640    0.9646         1    0.9874    0.7453   0.01179  0.004101         0
    84/399        0G   0.02304   0.01107         0   0.03411        11       640    0.9909    0.9999    0.9927     0.831   0.01016   0.00367         0
    85/399        0G   0.02109   0.01019         0   0.03127         6       640    0.9732         1    0.9926    0.8023   0.01009  0.003829         0
    86/399        0G   0.01961   0.01175         0   0.03136         9       640    0.9908    0.9908    0.9933    0.8552  0.009992  0.003694         0
    87/399        0G   0.01818   0.01094         0   0.02912         9       640     0.982         1    0.9933    0.8255  0.009332  0.003713         0
    88/399        0G   0.02509   0.01283         0   0.03792        12       640     0.982         1    0.9931    0.6758   0.01557  0.003993         0
    89/399        0G   0.02454   0.01136         0    0.0359        14       640    0.9819         1     0.993    0.8278   0.01253  0.003866         0
    90/399        0G   0.02471   0.01161         0   0.03631        12       640    0.9908    0.9908    0.9918    0.7658   0.01341  0.003817         0
    91/399        0G   0.02361   0.01073         0   0.03433        15       640    0.9908    0.9908    0.9924    0.7755   0.01281  0.003878         0
    92/399        0G   0.02396    0.0111         0   0.03506        16       640    0.9729    0.9908     0.993    0.8224   0.01097  0.003698         0
    93/399        0G   0.02038   0.01036         0   0.03074        10       640    0.9904    0.9817    0.9931    0.8355  0.009047  0.003669         0
    94/399        0G   0.02329   0.01042         0   0.03371        15       640    0.9909         1     0.994    0.7543   0.01277  0.003918         0
    95/399        0G    0.0231   0.01095         0   0.03405        10       640    0.9909         1    0.9943    0.8093   0.01064  0.003652         0
    96/399        0G   0.02356   0.01055         0   0.03411        18       640    0.9909         1    0.9951    0.7736    0.0128  0.003464         0
    97/399        0G   0.01817   0.01033         0    0.0285        10       640    0.9909         1     0.995    0.8257   0.01046   0.00338         0
    98/399        0G   0.02268   0.01075         0   0.03343        11       640    0.9909         1     0.995    0.7974   0.01065   0.00348         0
    99/399        0G   0.02211   0.01039         0    0.0325        16       640    0.9909         1    0.9945    0.8089  0.009242  0.003379         0
   100/399        0G   0.01696  0.009734         0   0.02669        10       640     0.982         1    0.9941    0.7963   0.01195  0.003459         0
   101/399        0G   0.01994   0.00941         0   0.02935         9       640    0.9909         1    0.9943    0.8335   0.00897  0.003314         0
   102/399        0G   0.01924   0.00872         0   0.02796        11       640         1         1    0.9953    0.8208   0.01056  0.003378         0
   103/399        0G   0.02272  0.009147         0   0.03186        13       640         1         1    0.9953    0.7822  0.009426   0.00335         0
   104/399        0G   0.01883  0.009754         0   0.02858         8       640         1         1    0.9953    0.8363  0.009904  0.003354         0
   105/399        0G   0.02137   0.00974         0   0.03111         9       640         1         1    0.9954    0.8609  0.008346  0.003237         0
   106/399        0G    0.0199  0.008915         0   0.02881         9       640         1         1    0.9954    0.7699  0.009732  0.003175         0
   107/399        0G   0.01873  0.009855         0   0.02859        17       640         1         1    0.9954    0.8283  0.007877  0.003105         0
   108/399        0G   0.02169  0.007878         0   0.02956        11       640    0.9385    0.9817     0.989    0.7767   0.01293   0.00319         0
   109/399        0G   0.02219  0.008634         0   0.03082         5       640    0.9304    0.9817    0.9862    0.8181   0.01023   0.00311         0
   110/399        0G   0.02162   0.01061         0   0.03223        17       640    0.9909         1    0.9957    0.8756  0.008448  0.003014         0
   111/399        0G   0.01894  0.009521         0   0.02846        16       640    0.9909         1    0.9956    0.8688  0.007609  0.003026         0
   112/399        0G   0.01942   0.01062         0   0.03004        15       640    0.9999         1    0.9958    0.8669  0.009879  0.003045         0
   113/399        0G   0.01996  0.009924         0   0.02988        15       640         1         1    0.9958    0.8772  0.007902   0.00302         0
